x, y, z
1.60722, -0.289084, -1.02782
1.59603, -0.290184, -1.01212
1.59506, -0.292938, -1.00428
1.59021, -0.293705, -1.00239
1.58485, -0.292504, -1.00096
1.58297, -0.291346, -0.999011
1.58619, -0.292609, -1.00003
1.58428, -0.292517, -0.999113
1.57818, -0.289656, -0.999913
1.58602, -0.290991, -1.00036
1.58894, -0.291616, -1.00526
1.59707, -0.293788, -1.00862
1.60308, -0.295796, -1.01268
1.60483, -0.295463, -1.0177
1.60984, -0.295945, -1.01987
1.60645, -0.294524, -1.02252
1.60474, -0.293855, -1.02358
1.60766, -0.295095, -1.02565
1.60693, -0.294723, -1.0239
1.60828, -0.296731, -1.02049
1.6106, -0.297333, -1.01145
1.61066, -0.296152, -1.00644
1.61945, -0.299094, -1.0016
1.61859, -0.300305, -0.995667
1.61794, -0.305682, -0.984506
1.61744, -0.305412, -0.978937
1.62034, -0.307088, -0.977786
1.62337, -0.306029, -0.973329
1.62988, -0.306624, -0.973767
1.63988, -0.309309, -0.976669
1.64474, -0.312702, -0.983917
1.65101, -0.313324, -0.986786
1.65825, -0.318286, -0.982919
1.66133, -0.320676, -0.984416
